ID,Author,Title,Year
NGUAAA,C. Thi Nguyen,Autonomy and Aesthetic Engagement,2019
VANAHA,Servaas Van der Berg,Aesthetic Hedonism and its Critics,2020
MATTPO-29,Mohan Matthen,The Pleasure of Art,2017
QUEROL,Matthieu Queloz,Reasons of Love and Conceptual Good-for-Nothings,forthcoming
NGUTAO-8,C. Thi Nguyen,The Arts of Action,2020
MATIA-4,Erich Hatala Matthes,Immoral Artists,2023
LOPBA,Dominic Lopes,Beyond Art,2014
MATNPF-3,Mohan Matthen,New Prospects for Aesthetic Hedonism,2018
MATDTL-2,Erich Hatala Matthes,\emph{Drawing the Line: What to Do with the Work of Immoral Artists From Museums to the Movies},2021
MATTII,Samantha Matherne,The Inclusive Interpretation of Kant's Aesthetic Ideas,2013
COCTAV,Tom Cochrane,The Aesthetic Value of the World,2021
SIMAAP-5,Vid Simoniti,Art as Political Discourse,2021
ABEAWI,Catharine Abell,Art: What It is and Why It Matters,2011
EARAEA-3,Christopher Earley,Artistic Exceptionalism and the Risks of Activist Art,2023
LOPTMO,Dominic McIver Lopes,The Myth of (Non-Aesthetic) Artistic Value,2011
GRAASE-6,James Grant,A Sensible Experientialism?,2023
PARFBP,Panos Paris,"Functional Beauty, Pleasure, and Experience",2020
ABEIIA,Catharine Abell,"Ii--Genre, Interpretation and Evaluation",2015
JAKTAV,Hicham Jakha,The Aesthetic Value of Literary Works in Roman Ingarden?s Philosophy,2022
CARFT-5,"No\""{e}l Carroll",Forget Taste,2022
STAAAN-2,Nicholas F. Stang,Artworks Are Not Valuable for Their Own Sake,2012
DYCABA,John Dyck and Matt Johnson,Appreciating Bad Art,2017
STEAOV-2,Nils{-}Hennes Stear,Autonomism,2023
HANTRO-14,Louise Hanson,The Reality of (Non-Aesthetic) Artistic Value,2013
PRITAO-14,Jesse Prinz,The Aesthetics of Punk Rock,2014
ABETEV,Catharine Abell,The Epistemic Value of Photographs,2010
MULCAA-13,Cathleen Muller,Cheap Art and Creative Activism,2023
BACBWA,Sondra Bacharach,Bearing Witness and Creative Activism,2023
COECMC-3,Mark Coeckelbergh,Can Machines Create Art?,2016
MATPSA-3,Mohan Matthen,"Play, Skill, and the Origins of Perceptual Art",2015
MURWDI,Sean T. Murphy,Why Delight in Screamed Vocals? Emotional Hardcore and the Case Against Beautifying Pain,forthcoming
HANAVI-4,Louise Hanson,Artistic Value is Attributive Goodness,2017
LEVAC-2,Jerrold Levinson,Aesthetic Contextualism,2007
OTAO,Ian O?Loughlin and Kate McCallum,The Aesthetics of Theory Selection and the Logics of Art,2018
MCMAAM-2,Jennifer McMahon,Aesthetics and Material Beauty: Aesthetics Naturalized,2007
SAUD-2,Andrea Sauchelli,Horror and Mood,2014
DUNATO-9,Stephen Duncombe,A Theory of Change for Artistic Activism,2023
IRVAAA,Sherri Irvin,Appropriation and Authorship in Contemporary Art,2005
PAGNCS,Jeremy Page,Nietzsche Contra Schopenhauer on Art and Truth,2024
MCMAAE-3,Jennifer A. McMahon,Art and Ethics in a Material World: Kant?s Pragmatist Legacy,2013
BALGWA,Andrea L. Baldini,"Graffiti Writing as Creative Activism: Getting Up, Sheeplike Subversion, and Everyday Resistance",2023
SONTNO-5,Moonyoung Song,The Nature of the Interaction Between Moral and Artistic Value,2018
STONAS-4,Timothy Stoll,Nietzsche and Schiller on Aesthetic Semblance,2019
SAUAVA,Andrea Sauchelli,"Aesthetic Value, Artistic Value, and Morality",2016
TUNBAC,Emine Hande Tuna,Bolzano's Aesthetic Cognitivism,forthcoming
LANHTD-3,Joshua Landy,How to Do Things with Fictions,2012
BARPEA-14,Christopher Bartel and Jack M. C. Kwong,"Pluralism, Eliminativism, and the Definition of Art",2021
SIMASE-2,Vid Simoniti,Assessing Socially Engaged Art,2018
SHATET,R. A. Sharpe,The Empiricist Theory of Artistic Value,2000
ORTLDD,Jose? Ortega Y. Gasset,La Deshumanizacio?N Del Arte,1928
HUDIDO,Andrew Huddleston,In Defense of Artistic Value,2012
MALTOA,Evan Malone,The Ontology and Aesthetics of Genre,2024
Taylor2022-CAVLTA-3,Dan Cavedon{-}Taylor,Life Through a Lens,2022
HARTHM-4,Mark Harvey,"Te Heahea Me Ng\=a Toi, Te Hikohiko: Productive Idiocy, M\={a}tauranga M\={a}ori and Art-Activism Strategies in Aotearoa/New Zealand",2023
PETAAR,Helen Petrovsky,Action and Relation: Toward a New Theory of the Image,2023
GINFAT-3,Jonathan Gingerich,Freedom and the Value of Games,2018
DILHAA-2,Matt Dill,"Heidegger, Art, and the Overcoming of Metaphysics",2017
MAYDDT,Patrick Maynard,Drawing Distinctions: The Varieties of Graphic Expression,2005
STEAVD-3,Robert Stecker,Artistic Value Defended,2012
MARATV-4,Irene Mart\'{i}nez Mar\'{i}n,Appreciating Taylor?s Versions: An Aesthetic Love Story.,forthcoming
HALVPI,Steven D. Hales,Value Pluralism in Restoration Aesthetics,2024
DUTAC,Denis Dutton,Artistic Crimes,manuscript
EARCAC-7,Christopher Earley,Co-Producing Art's Cognitive Value,forthcoming
DECTMO-3,Rafael De Clercq,The Metaphysics of Art Restoration,2013
MCADAV-2,James W. McAllister,Does Artistic Value Pose a Special Problem for Time Travel Theories?,2020
KAUCSA-2,Antti Kauppinen,"Creativity, Spontaneity, and Merit",forthcoming
Climenhaga2024-FITIOM,Alison Fitchett{-}Climenhaga and Nevin Climenhaga,Images of Mercy: Narrating the Gospel Through a Rwandan Catholic Shrine,2024
ABRTAT-2,Daniel Abrahams and Gary Kemp,Trust and the Appreciation of Art,2021
LIVACA,Paisley Nathan Livingston and Carol Archer,Artistic Collaboration and the Completion of Works of Art,2010
WYNDAP,Andrew Wynn Owen,Does a Plausible Construal of Aesthetic Value Give Us Reason to Emphasize Some Aesthetic Practices Over Others?,2023
SAUTWT,Andrea Sauchelli,"The Will to Make-Believe: Religious Fictionalism, Religious Beliefs, and the Value of Art",2018
KIEFTL-2,Matthew Kieran,For the Love of Art: Artistic Values and Appreciative Virtue,2012
IRVMAM,Sherri Irvin,Materials and Meaning in Contemporary Sculpture,2020
HOPTRC,Robert Hopkins,The Real Challenge to Photography (as Communicative Representational Art),2015
MNEDPI,"Nicola M\""{o}s{s}ner",Die Pest in Zeiten von Corona ? Philosophie Und Literatur Bei Albert Camus,2023
GRAAAA-21,James Grant,Art and Achievement,2020
BRAOSW,Ben Bramble,"On Susan Wolf?s ?Good-for-Nothings""",2015
GUITAF,Pierre Guillet de Monthoux,The Art Firm: Aesthetic Management and Metaphysical Marketing,2004
KULTAA,Tomas Kulka,The Artistic and the Aesthetic Value of Art,1981
VANEKE-3,Rob van Gerwen,Esthiek: Kunst En Morele Afstemming,2023
MATHTE-2,M. Matthen,How to Explain Pleasure,2014
COSOLS,Diarmuid Costello,On Late Style: Arthur Danto?s the Abuse of Beauty,2004
CRODAC-2,Paul Crowther,"Defining Art, Creating the Canon: Artistic Value in an Era of Doubt",2007
RIGTE-5,Nick Riggle,Transformative Expression,2020
JLECNA,J. Levinson,"Art, Value, and Philosophy",1996
BUDAM-2,Malcolm Budd,Artistic Merit,2014
SAUTMR,Andrea Sauchelli,The Merited Response Argument and Artistic Categories,2013
SMUPAA,Aaron Smuts,Painful Art and the Limits of Well-Being,2013
MULTSO-12,Marcel Muller and Jurji Lotman and Ronald Vroon,The Structure of the Artistic Text,1978
SENTBM,Kiyohiro Sen,That?s Beyond My Imagination!,2024
ODDWDW-2,Graham Oddie,What Do We See in Museums?,2016
CORTS-4,Jos\'e Ram\'{o}n Fabelo Corzo,14 Tesis Sobre Los Valores Est\'{e}tico,1999
DODOAP,Julian Dodd,On a Proposed Test for Artistic Value,2014
KEMTWO,John Kemp,The Work of Art and the Artist's Intentions,1964
GRACAA-4,James Grant,Creativity as an Artistic Merit,2018
HAWACA-6,Jennifer Hawkins,Artistic Creativity and Suffering,2018
MAEPAA,Hans Maes,Pornographic Art and the Aesthetics of Pornography,2013
OCOCWW-2,Eoin O?Connell,Can We Wrong a Work of Art?,2015
GRAAVA,James Grant,Artistic Value and Copies of Artworks,2015
INGAAA,Roman Ingarden,Artistic and Aesthetic Values,1964
GILTOO,Jonathan Gilmore,That Obscure Object of Desire: Pleasure in Painful Art,2013
EHRTPO-4,Anton Ehrenzweig,The Psycho-Analysis of Artistic Vision and Hearing,1954
JOHMAA-2,Eileen John,"Meals, Art, and Artistic Value",2014
MARTCM-8,Colin Martindale,The Clockwork Muse: The Predictability of Artistic Change,1992
KARLSD,Pedro Karczmarczyk,La Subjetivizaci\'{o}n de la Est\'{e}tica y El Valor Cognitivo Del Arte Seg\'{u}n Gadamer,2007
CUSTSO,Arnold Cusmariu,The Structure of an Aesthetic Revolution,2009
GORVFC,Keren Gorodeisky,Value First: Comments on Mohan Matthen?s ?the Pleasure of Art?,2017
HOPPAB,Robert Hopkins,Pictures and Beauty,1997
RICTBO-13,Richard A. Richards,The Biology of Art,2019
LANTRO-25,Joshua Landy and Michael T. Saler,The Re-Enchantment of the World: Secular Magic in a Rational Age,2009
KUIPFT,"Oiva Kuisma and Sanna Lehtinen and Harri M\""{a}cklin",Paths From the Philosophy of Art to Everyday Aesthetics,2019
CRODAC-6,Michelle Lavigne,"Defining Art, Creating the Canon: Artistic Value in an Era of Doubt",2008
LAMROT-3,Peter Lamarque,Reflections on the Ethics and Aesthetics of Restoration and Conservation,2016
NANTIN,Bence Nanay,There is No Such Thing as Patriotic Art: Clive Bell on Art and War,2015
CLEGKA,Robert R. Clewis,"Greenberg, Kant, and Aesthetic Judgments of Modernist Art",2008
LIVNA,Paisley Nathan Livingston,Nested Art,2003
BRABU-2,Peg Zeglin Brand,Beauty Unlimited,2013
BENEWA,Jane Bennett,Encounters with an Art-Thing,2015
AVITOI,Doron Avital and Karolina Dolanska,The Original in the Digital Age,2023
BRISUK,Jochen Briesen and Rico Gutschmidt,Sein Und Kunst -- Zum Epistemischen Wert der Kunst Bei Heidegger,2022
SIRAIA,Mary Sirridge,Artistic Intention and Critical Prerogative,1978
DRUVOA,Harry Drummond,Value of Art,2023
STEAAB-2,Jakub Stejskal,Art and Bewilderment,2016
BENAFG-2,Miguel Benitez,Art for Goodness Sake: A Chestertonian Critique of Art for Art?s Sake,2019
RYYCKT,"Max Ryyn\""{a}nen",Contemporary Kitsch: The Death of Pseudo-Art and the Birth of Everyday Cheesiness (a Postcolonial Inquiry),2018
HOLOSS,A. G. Holdier,On Superhero Stories: The Marvel Cinematic Universe as Tolkienesque Fantasy,2018
MERMAK,Melissa Merritt,Murdoch and Kant,2022
HOPIUA,Robert Hopkins,"Imaginative Understanding, Affective Profiles, and the Expression of Emotion in Art",2017
