ID,Author,Title,Year
FRIHSS-3,David Friedell and Shen{-}yi Liao,How Statues Speak,2022
EVNROA,Simon J. Evnine,Ready-Mades: Ontology and Aesthetics,2013
Brown2020-BURSSS,Joanna Burch{-}Brown,Should Slavery?s Statues Be Preserved? On Transitional Justice and Contested Heritage,2020
DESACA-2,Johan de Smedt and Helen de Cruz,A Cognitive Approach to the Earliest Art,2011
XHIIDG,Michel{-}Antoine Xhignesse,Imagining Dinosaurs,forthcoming
MITHAT-6,Andrew Mitchell,"Heidegger Among the Sculptors: Body, Space, and the Art of Dwelling",2010
IRVASO,Sherri Irvin,Installation Art and Performance: A Shared Ontology,2013
IRVMAM,Sherri Irvin,Materials and Meaning in Contemporary Sculpture,2020
NORHAA,Robert Edward Norton,Herder's Aesthetics and the European Enlightenment,1991
DAVSIH-3,Whitney Davis,Sculpture in Herder?s Naturalist Aesthetics,2022
HOPRAM,Robert Hopkins,Resemblance and Misrepresentation,1994
VANS,Robert D. Vance,Sculpture,1995
MERNS,Trenton Merricks,?No Statues?1,2000
CUSTSO,Arnold Cusmariu,The Structure of an Aesthetic Revolution,2009
HERSSO,Johann Gottfried Herder,Sculpture: Some Observations on Shape and Form From Pygmalion's Creative Dream,2002
VIVTTO,Bradford Vivian,The Threshold of the Self,2000
NORTPA-5,Michael North,The Public as Sculpture: From Heavenly City to Mass Ornament,1990
HOUHOT,Stephen Houlgate,Hegel on the Beauty of Sculpture,2007
HOPPSS,Robert Hopkins,"Painting, Sculpture, Sight, and Touch",2004
YOUTSO-14,J. H. Young and Margarete Bieber,The Sculpture of the Hellenistic Age,1957
PLUWPA-2,Gilbert Plumer,When Paintings Argue,2024
BROPAT,Donald Brook,Perception and the Appraisal of Sculpture,1969
DECCAR,Rafael De Clercq,Conservation and Restoration,2022
HOPSAS,Robert Hopkins,Sculpture and Space,2003
IRVS-2,Sherri Irvin,Sculpture,2013
ERISAT-2,Erik Koed,Sculpture and the Sculptural,2005
HOPSAP,R. Hopkins,Sculpture and Perspective,2010
HOPTSI-7,Robert Hopkins,The Sculpted Image?,2020
HOPS-3,Robert Hopkins,Sculpture,2003
ZUCSAT,Rachel Zuckert,Sculpture and Touch: Herder's Aesthetics of Sculpture,2009
ERKATP,Ekin Erkan,Arrest: The Politics and Transcendence of Aesthetic Arrest Qua Protest,2020
CARGSA-2,Rhys Carpenter,Greek Sculpture. A Critical Review,1962
PANTSF-2,Erwin Panofsky and H. W. Janson,Tomb Sculpture: Four Lectures on its Changing Aspects From Ancient Egypt to Bernini,1967
KENKCA,Juliette Kennedy,"Kant, Co-Production, Actuality and Pedestrian Space: On the Philosophical Writings of Fred Sandback",2017
KEEVA,Gavin Keeney,Vertiginous Acedie,manuscript
WINTOT-2,Johann Joachim Winckelmann,Thoughts on the Imitation of the Painting and Sculpture of the Greeks,1985
CUSBCO,Arnold Cusmariu,Baudelaire?s Critique of Sculpture,2015
HILTPO-18,W. A. Hammond,The Problem of Form in Painting and Sculpture,1909
ROGST,L. R. Rogers,Sculptural Thinking,1962
AUSQOP,R. G. Austin,Quintilian on Painting and Statuary,1944
ROGSSA,L. R. Rogers,"Sculpture, Space and Being Within Things",1983
ARNTHO,Rudolf Arnheim,The Holes of Henry Moore: On the Function of Space in Sculpture,1948
