ID,Author,Title,Year
ADAFAI,Robert Merrihew Adams,Finite and Infinite Goods: A Framework for Ethics,1999
EVAGAM,C. Stephen Evans,God and Moral Obligation,2013
WIEVAV-2,Erik J. Wielenberg,Value and Virtue in a Godless Universe,2005
BRR-2,Muh?ammad ?Ali? Ba?rr,Al-Akhla?Q: Us?U?Luha? Al-di?Ni?Yah Wa-Judhu?Ruha? Al-Falsafi?Yah,2010
MERFAI-3,Robert Merrihew Adams,Finite and Infinite Goods: A Framework for Ethics,1999
BAGGGT,David Baggett,Good God: The Theistic Foundations of Morality,2011
Armstrong2009-SINMWG,Walter Sinnott{-}Armstrong,Morality Without God?,2009
BAGGAC,David Baggett and Jerry L. Walls,God and Cosmos: Moral Truth and Human Meaning,2016
RITFMT,Angus Ritchie,From Morality to Metaphysics: The Theistic Implications of Our Ethical Commitments,2012
CHAAPK,Berman Chan,A Platonic Kind-Based Account of Goodness,2021
GRERAM,Ronald Michael Green,Religion and Moral Reason: A New Method for Comparative Study,1988
ASHFPF,Mike Ashfield,Five Problems for the Moral Consensus About Sins,2021
DAVBAA-2,G. Scott Davis,Believing and Acting: The Pragmatic Turn in Comparative Religion and Ethics,2012
URACOI,Tomasz \.{Z}uradzki,"Conscientious Objection in Healthcare: The Requirement of Justification, the Moral Threshold, and Military Refusals",2023
REISRA-5,Michael J. Reiss,"Science, Religion, and Ethics: The Boyle Lecture 2019",2019
GENEAR,Harry J. Gensler,Ethics and Religion,2016
LARWAC-3,Brendan Larvor,Weber and Coyote: Polytheism as a Practical Attitude,2020
JECTPA,Alexander Jech,"Tocqueville, Pascal, and the Transcendent Horizon",2016
DOLGAT,Andrew Dole and Andrew Chignell,God and the Ethics of Belief: New Essays in Philosophy of Religion (Festschrift for Nicholas Wolterstorff),2005
DELEAA-11,Jes\'{u}s Miguel Delgado Del Aguila,Configuraci\'{o}n Hisp\'{a}nica de Los Conceptos de Utop\'{i}a y Anarqu\'{i}a En la Literatura. Entrevista a Roc\'{i}o Hern\'{a}ndez Arias (1st edition),2023
WIERTC,Erik J. Wielenberg,"Reply to Craig, Murphy, Mcnabb, and Johnson",2018
GCKPTA,"Benedikt Paul G\""{o}cke","Panentheism, Transhumanism, and the Problem of Evil - From Metaphysics to Ethics",2019
HAKHAT-2,Hille Haker,Habermas and the Question of Bioethics,2019
JAKMIA,Jonas Jakobsen,Moderate Inclusivism and the Conversational Translation Proviso: Revising Habermas' Ethics of Citizenship,2019
DEWCCA-2,Annick de Witt,Climate Change and the Clash of Worldviews: An Exploration of How to Move Forward in a Polarized Debate,2015
ROBSEA-3,Simon Robinson,"Spirituality, Ethics, and Care",2008
LIPAPT,Walter Lippmann,A Preface to Morals,1929
BROBAL-4,Petra Brown and Patrick Stokes,Bonhoeffer and L\o{}gstrup: The Ethics of Disclosure in a State of Exception,2020
