ID,Author,Title,Year
RABDWH,Brian Rabern,Descriptions Which Have Grown Capital Letters,2015
MANDP-2,Matthew Mandelkern and Daniel Rothschild,Definiteness Projection,2019
BLUDDD,Kyle Hammet Blumberg,"Demonstratives, Definite Descriptions and Non-Redundancy",2020
KRBABQ,"Nils K\""{u}rbis",A Binary Quantifier for Definite Descriptions in Intuitionist Negative Free Logic: Natural Deduction and Normalisation,2019
COPDAD,Elizabeth Coppock and David Beaver,Definiteness and Determinacy,2015
ROBDAD-5,Craige Roberts,Demonstratives as Definites,2002
NINNAE,Dilip Ninan,Naming and Epistemic Necessity,2019
ABBDAI-3,Barbara Abbott,Definiteness and Indefiniteness,2004
HEYCTO,Jan Heylen,Carnap?s Theory of Descriptions and its Problems,2010
Yami2013-BENHPV,Hanoch Ben{-}Yami,"Higher-Level Plurals Versus Articulated Reference, and an Elaboration of Salva Veritate",2013
BECRAD-2,Sigrid Beck,Reciprocals Are Definites,2001
KRBDDI,"Nils K\""{u}rbis",Definite Descriptions in Intuitionist Positive Free Logic,2020
NOWCDH-2,Ethan Nowak,"Complex Demonstratives, Hidden Arguments, and Presupposition",2019
SCHMRO-2,Philippe Schlenker,"Minimize Restrictors!(Notes on Definite Descriptions, Condition Cand Epithets)",2005
SCHATA-9,Anders J. Schoubye,Against the Argument From Convention,2012
BROSTO,Berit Brogaard,Sharvy's Theory of Definite Descriptions Revisited,2007
ABBIIT,Barbara Abbott,Issues in the Semantics and Pragmatics of Definite Descriptions in English,manuscript
ABBA,Barbara Abbott,Issues in the Semantics and Pragmatics of Definite Descriptions in English,2008
HAWDAI,John A. Hawkins,Definiteness and Indefiniteness: A Study in Reference and Grammaticality Prediction,1980
DAVDIE-3,Alex Davies,"Definiteness in English and Estonian: Same Pragmatic Principles, Different Syntaxes (M\""{a}""{a}ravus Inglise Ja Eesti Keeles: Samad Pragmaatilised P\~{o}him\~{o}tted, Erinevad S\""{u}ntaksid)",2023
SHRTSA-2,Yaroslav Shramko and Heinrich Wansing,The Slingshot Argument and Sentential Identity,2009
HARSBD,Daniel Hardt and Line Mikkelsen,Same but Different,2015
PAYCAI,Jonathan D. Payton,"Composition as Identity, Now with All the Pluralities You Could Want",2021
BUMSDR,Dylan Bumford,Split-Scope Definites: Relative Superlatives and Haddock Descriptions,2017
RECRTM,Fran\c{c}ois Recanati,Reference Through Mental Files : Indexicals and Definite Descriptions,2013
HICTPU,Michael R. Hicks,The Presentational Use of Descriptions,2019
ABBART-2,Barbara Abbott,A Reply to Szab\'o?s ?Descriptions and Uniqueness?,2003
SORADN,Roy A. Sorensen,A Definite No-No,2003
MOLTIR,Friederike Moltmann,"Tropes, Intensional Relative Clauses, and the Notion of a Variable Object",2012
RIETDL,Michael Rieppel,The Double Life of 'the Mayor of Oakland',2013
ZVODDW,Zs\'{o}fia Zvolenszky,Definite Descriptions: What Frege Got Right and Russell Didn?T,1997
LAMATO-2,Karel Lambert,A Theory of Definite Descriptions,1991
PORTSA,Paul Portner and Katsuhiko Yabushita,The Semantics and Pragmatics of Topic Phrases,1998
BACDGD,John Bacon,Do Generic Descriptions Denote?,1973
CHRTAA-2,Paul Christophersen,The Articles: A Study of Their Theory and Use in English,1939
CAROPR,Helen Morris Cartwright,On Plural Reference and Elementary Set Theory,1993
KROOBA,Nicky Kroll,On Bishops and Donkeys,2008
KRBABQ-2,"Nils K\""{u}rbis",A Binary Quantifier for Definite Descriptions for Cut Free Free Logics,2021
GLADNA,Michael Glanzberg,"Descriptions, Negation, and Focus",2008
BADTWI,Farshad Badie,Towards World Identification in Description Logics,forthcoming
SHADCP,J. L. Shaw,Descriptions: Contemporary Philosophy and the Ny\={a}ya,1988
BLACO-2,U. Blau,Collective Objects,1981
BRODB-2,Berit Brogaard,Descriptions: An Annotated Bibliography,2010
MURDDA-3,Brendan Murday,Definite Descriptions and Semantic Pluralism,2014
