ID,Author,Title,Year
MIKMWS,Irina Mikhalevich,Minds Without Spines: Evolutionarily Inclusive Animal Ethics,2020
PARPWU,Seungbae Park,Problems with Using Evolutionary Theory in Philosophy,2017
POWWMC,Rachell Powell and Irina Mikhalevich,Wonderful Mind: Convergentism and the Crusade Against Evolutionary Progress,2023
PENCIE-2,Grant Ramsey and Charles H. Pence,Chance in Evolution,2016
WITFME,"G\""{u}nther Witzany",From Molecular Entities to Competent Agents: Viral Infection-Derived Consortia Act as Natural Genetic Engineers,2012
VERTPA,Philippe Verdoux,"Transhumanism, Progress and the Future",2009
KANSAA-7,Aharon Kantorovich,Serendipity as a Source of Evolutionary Progress in Science,1989
RADTEO-4,Gregory Radick,Two Explanations of Evolutionary Progress,2000
DESNSP,Hugh Desmond,"Natural Selection, Plasticity, and the Rationale for Largest-Scale Trends",2018
TURPII-2,Derek D. Turner,Philosophical Issues in Recent Paleontology,2014
OSTTIM,Agustin Ostachuk,The Ideological Matrix of Science: Natural Selection and Immunity as Case Studies,2019
MAXDTR,Nicholas Maxwell,Darwinian Theory Reinterpreted,2010
WITEGI,L. P. Villarreal \& Guenther Witzany,Editorial: Genome Invading Rna Networks,2018
OSTTUO-2,Agustin Ostachuk,"The Unfolding of a New Vision of Life, Cosmos and Evolution",2020
SIMARV,Pavel Simashenkov,About Russian Version of Historical Progress / \CYRO \CYRR\cyru\cyrs\cyrs\cyrk\cyro\cyrishrt \CYRV\cyre\cyrr\cyrs\cyri\cyri \CYRI\cyrs\cyrt\cyro\cyrr\cyri\cyrch\cyre\cyrs\cyrk\cyro\cyrg\cyro \CYRP\cyrr\cyro\cyrg\cyrr\cyre\cyrs\cyrs\cyra,2019
HAHOTN,Kai Hahlweg,On the Notion of Evolutionary Progress,1991
SHAMAC,Timothy Shanahan,Methodological and Contextual Factors in the Dawkins/Gould Dispute Over Evolutionary Progress,2001
MACTPO-39,James Maclaurin and Tim Cochrane,The Purpose of Progress: A Response to Schubert,2013
ZALTAT,Henry L. Zaltsman,Toward a Theory of Progressive Evolution (Large-Scale Stages of Evolutionary Progress),2009
JUNMTM-2,Thomas Junker,Monad to Man: The Concept of Progress in Evolutionary Biology. Michael Ruse,1998
SOLFAT-2,Marco Solinas,"From Aristotle?s Teleology to Darwin?s Genealogy: The Stamp of Inutility, Basingstoke: Palgrave Macmillan, 2015 (Pdf: Contents, Introduction)",2015
CHEATP-5,Valentin Cheshko and Glazko Valery and Ivanitskaya Lida,Anthropocene: The Philosophy of Biotechnology,2018
LOVMIL-2,Alan Love and R. R. Strathmann,"Marine Invertebrate Larvae: Model Life Histories for Development, Ecology, and Evolution.",2018
MIKTAD,A. M. Miklin,Toward a Definition of the Concept of Progressive Evolution in Biological Phenomena,1968
PURWEI,Bhakti Madhava Puri,Why Evolution is Not True,2013
PURELO,Bhakti Madhava Puri,Early Life on Earth,2013
SOLROJ,Marco Solinas,"Review of Jan-Christoph Heiliger (Ed.), Naturgeschichte der Freiheit",2008
VANPIN,Jitse M. van der Meer,Progress in Nature and Culture,2000
PENRJR-2,Charles H. Pence,"Robert J. Richards and Michael Ruse. Debating Darwin. Chicago: University of Chicago Press, 2016. Pp. Xvi+267. \$30.00 ; \$18.00",2017
LYOFAP-2,John Lyon,"Fossils and Progress. Paleontology and the Idea of Progressive Evolution in the Nineteenth Century by Peter J. Bowler; History of the Earth Sciences During the Scientific and Industrial Revolutions, with Special Emphasis on the Physical Geosciences by D. H. Hall",1978
VENUEA,Scott D. G. Ventureyra,Undeniable: Evolution and the Science of Creation,2015
CAIRPA,Joe Cain,Review: Progress and its Problems,1999
