ID,Author,Title,Year
HALGIL,Jan Hal\'{a}k,Gesturing in Language: Merleau-Ponty and Muka\v{r}ovsk\'y at the Phenomenological Limits of Structuralism,2022
HARLSA,Roy Harris,"Language, Saussure, and Wittgenstein: How to Play Games with Words",1988
THIRST,Paul J. Thibault,Re-Reading Saussure: The Dynamics of Signs in Social Life,1997
JOSS,John E. Joseph,Saussure,2012
ALLTDN,Emmanuel Alloa,The Diacritical Nature of Meaning. Merleau-Ponty with Saussure,2013
LOTUAS,Mihhail Lotman,Atomistic Versus Holistic Semiotics,2002
ISASES,Manuel Gustavo Isaac,Signe Et Signification \`A L?Aune de la Dichotomie Syntaxe / S\'{e}mantique,2015
STASLO-2,Beata Stawarska,Strange Life of a Sentence,2015
BORDPO,Peter Bornedal,Derrida?s Paralogism of Writing: A Critique of Deconstructive Reasoning,2015
MANLAC-2,Maurice Mandelbaum,Language and Chess: De Saussure's Analogy,1968
LAGSAD-2,Alexandros Ph Lagopoulos,Saussure and Derrida,2012
SHOWWP,Thomas L. Short,Why We Prefer Peirce to Saussure,1988
WELWAR,Alistair Welchman,'Wild Above Rule or Art' : Creation and Critique,1996
CAR_SA-11,Andrew Carstairs,"\emph{Reading Saussure: A Critical Commentary on the ""Cours de Linguistique G\'{e}n\'{e}rale,""} (Review)",1988
PSATPO,Bruce M. Psaty and Thomas S. Inui,"The Place of Human Values in the Language of Science: Kuhn, Saussure, and Structuralism",1991
FREDMA-3,Dieter Freundlieb,Deconstructionist Metaphysics and the Interpretation of Saussure,1990
SPA_LT,Francis Sparshott,\emph{From Locke to Saussure: Essays on the Study of Language and Intellectual History} (Review),1983
BEVMTA-2,Mark Bevir,"Meaning. Truth, and Phenomenology",2003
HARLSA-2,Rom Harr\'e,"Language, Saussure and Wittgenstein",1991
RANSPO-2,Anti Randviir,Sociosemiotic Perspectives on Studying Culture and Society,2001
ALLFBO,Emmanuel Alloa,Flected Bodies: On the Relationship Between Body and Language,2014
GALLND-4,Alain Gallerand,"La Nature de la Logicit\'e Chez Husserl, Saussure Et Granel : Id\'{e}alit\'e Ou Mat\'{e}rialit\'e?",2013
PERJCS,Jaroslav Peregrin,Jonathan Culler: Saussure,1994
HAROBS,Wendell V. Harris,On Being Sure of Saussure,1983
ZIMTMO-3,Karl E. Zimmer,The Morphophonemics of Saussure's 'Cours de Linguistique G\'{e}n\'{e}rale',1970
LANFST-2,Richard Lanigan,From Saussure to Communicology: The Paris School of Semiology,1988
GOBEHS-3,Maria Go\l\k{e}biewska,Edmund Husserl?s Semantics and the Critical Theses of Late Structuralism,2019
BRADLE,Jacques Brafman,"Discours, Langage Et Totalit\'e (Hegel Et Saussure)",2010
PETHA-3,Walter Petersen,Hittite ? and Saussure's Doctrine of the Long Vowelshittite H and Saussure's Doctrine of the Long Vowels,1939
HUGSAV-2,Hugh Bredin,Sign and Value in Saussure,1984
DEEFDS,John Deely,Ferdinand de Saussure and Semiotics,1995
BAKKNB-3,D. M. Bakker,Kritische Notities Bij Ferdinand de Saussure's Cours,1984
LISPSA-2,James Jak\'{o}b Liszka,"Peirce, Saussure, and the Concept of Transvaluation",1988
BURTPH,Tony Burns,The Purloined Hegel: Semiology in the Thought of Saussure and Derrida,2000
ELILLD,Annibale Elia and Marina De Palo,La Lezione di Saussure: Saggi di Epistemologia Linguistica,2007
BERNSF,Art Berman,Not so Fast,1989
WUDOA,Mengxue Wu,Derrida's Open and its Closure: The Aporia of Diff\'{e}rance and the Only Logic of Thinking,2018
DALTDT,Duilio D'Alfonso,The Dynamic Turn: On Syntax Between Langue and Parole,2009
ADOAAL,Guilherme Adorno,"Algoritmizar a L\'{i}ngua? Automatiza\c{c}~{a}o, Informatiza\c{c}~{a}o, Materialismo Discursivo",2019
TERZNU,\'{A}lvarez Teresa,Zwischen Natur Und Kultur: Mythos Und Symbol Bei L\'{e}vi-Strauss,manuscript
PIOASP,Jl Pio Abreu and R. Freire Lucas,A Small Point on the Philosophy of Mind: Saussure?s Sign and Brain Lateralization,manuscript
CRELPD-5,Bernard Crettaz and Albert V. Carozzi and David Ripoll and Mus\^{a}ee D'ethnographie de la Ville de Gen\'{a}eve and Conservatoire D'art Et D'histoire de la Haute{-}Savoie,"Les Plis du Temps: Mythe, Science Et H.-B. De Saussure",1998
SILSMA-3,Eliane Silveira and Stefania Montes Henriques,"Saussure: Manuscritos, Aulas e Publica\c{c}~{o}es",2022
RUMROB,Jacob Rump,"Review of Beata Stawarska, Saussure?s Linguistics, Structuralism, and Phenomenology (Palgrave Macmillan, 2020), Phenomenological Reviews.",2020
