ID,Author,Title,Year
KIDHPE,Ian James Kidd and Havi Carel,"Healthcare Practice, Epistemic Injustice, and Naturalism",2018
HIRDWD,Ilmari Hirvonen and Janne Karisto,Demarcation Without Dogmas,2022
DECNAN-2,Mario De Caro and David Macarthur,Naturalism and Normativity,2010
REYPNA,Jack Reynolds,"Phenomenology, Naturalism and Science: A Hybrid and Heretical Proposal",2017
MIZWSB,Moti Mizrahi,What?s so Bad About Scientism?,2017
RITUN-3,Jack Ritchie,Understanding Naturalism,2008
KROCN,Maria Kronfeldner,Creativity Naturalized,2009
MIZFAA,Moti Mizrahi,"For and Against Scientism: Science, Methodology, and the Future of Philosophy",2022
VERBNB,Sander Verhaegh,Boarding Neurath's Boat: The Early Development of Quine's Naturalism,2017
FISPAM-7,Eugen Fischer and Justin Sytsma,Projects and Methods of Experimental Philosophy,2023
OPPN,Graham Oppy,Naturalism,2020
LAUAE,Larry Laudan,Aim-Less Epistemology?,1990
MIZIDO,Moti Mizrahi,In Defense of Weak Scientism: A Reply to Brown,2017
BRYNGH,Amanda Bryant,Naturalizing Grounding: How Theories of Ground Can Engage Science,2018
CHAD-20,Lok{-}Chi Chan,On Characterizing Metaphysical Naturalism,2021
BRYN-2,Amanda Bryant,Naturalisms,2020
TESHDR,Italo Testa,How Does Recognition Emerge From Nature? The Genesis of Consciousness in Hegel?s Jena Writings,2012
SCHTAM-10,"Raphael Scholl and Tim R\""{a}z",Towards a Methodology for Integrated History and Philosophy of Science,2016
MIZWSK,Moti Mizrahi,Why Scientific Knowledge is Still the Best,2018
PEAWCI,James Pearson,Writing Conversationalists Into History,2022
REYMGK-2,Jack Reynolds,"Merleau-Ponty?s Gordian Knot: Transcendental Phenomenology, Science, and Naturalism",2016
MIZMID,Moti Mizrahi,More in Defense of Weak Scientism,2018
GARPSA-14,Georgi Gardiner,"Pragmatism, Skepticism, and Over-Compatibilism: On Michael Hannon?s \emph{What?s the Point of Knowledge}?",forthcoming
MELCMB,Andrew Melnyk,"Can Metaphysics Be Naturalized? And If so, How?",2013
Danini2019-FERSPA-10,Juliette Ferry{-}Danini,Should Phenomenological Approaches to Illness Be Wary of Naturalism?,2019
SMIAIC-4,Robert Smithson,An Idealist Critique of Naturalism,2019
MIZWSD,Moti Mizrahi,Weak Scientism Defended Once More: A Reply to Wills,2018
SCHPOS-30,Eric Schliesser,Philosophy of Science as First Philosophy the Liberal Polemics of Ernest Nagel,2021
HATPAA-2,Gary Hatfield,Psychology as a Natural Science in the Eighteenth Century,1994
SMINRH,Barbara Herrnstein Smith,Natural Reflections: Human Cognition at the Nexus of Science and Religion,2009
STEAED-4,Fabio Sterpetti,Are Evolutionary Debunking Arguments Really Self-Defeating?,2015
HIGICI,Andrew Higgins and Alexis Dyschkant,Interdisciplinary Collaboration in Philosophy,2014
MORSAN,James P. Moreland,Should a Naturalist Be a Supervenient Physicalist?,1998
MORSMO-3,Matteo Morganti,Science-Based Metaphysics: On Some Recent Anti-Metaphysical Claims,2015
WORTCF,John Worrall,Two Cheers for Naturalised Philosophy of Science Or: Why Naturalised Philosophy of Science is Not the Cat?s Whiskers,1999
Doane2023-CLAPOM-4,Justin Clarke{-}Doane,Pr\'{e}cis of \emph{Morality and Mathematics},2023
CELRP-2,Carlo Cellucci,Rethinking Philosophy,2014
OSHOJ-3,James O'Shea,What to Take Away From Sellars?s Kantian Naturalism,2016
WALEAM-9,Dorothy Walsh and Joel Katzav and Krist Vaesen,Ethics and Metaphysics,2023
ARAHCO,Alejandro Arango,Husserl's Concept of Position-Taking and Second Nature,2014
GUAPOT,Francesco Guala,Philosophy of the Social Sciences: Naturalism and Anti-Naturalism in the Philosophy of Social Science,2014
GASHSI,Georg Gasser,How Successful is Naturalism?,2007
PERPAT-3,Tuomas K. Pernu,Philosophy and the Front Line of Science,2008
