ID,Author,Title,Year
HEIJPA-3,James W. Heisig and Thomas P. Kasulis and John C. Maraldo,Japanese Philosophy: A Sourcebook,2011
SHINAF,Atushi Shirai,"Nationalism and Feminism in Yukichi Fukuzawa, the Most Influential Leader of Enlightenment in Modern Japan",1992
KOIFYA,Takashi Koizumi,Fukuzawa Yukichi and Religion,1994
FUKGNS,Yukichi Fukuzawa,Gakumon No Susume,1951
MINMZJ,Richard H. Minear and William Reynolds Braisted,"Meiroku Zasshi, Journal of the Japanese Enlightenment",1979
STOTAO-9,Alan Stone and Elichi Kiyooka and Fukuzawa Yukichi,The Autobiography of Fukuzawa Yukichi,1975
MTAO-8,D. E. M. and Eiichi Kiyooka and Fukuzawa Yukichi,The Autobiography of Fukuzawa Yukichi,1967
IMAFYN,Seiji Imanaga,Fukuzawa Yukichi No Shiso? Keisei,1979
NISFYK,Minoru Nishimura,Fukuzawa Yukichi: Kokka Risei to Bunmei No Do?Toku,2006
WATFYK,Tokusaburo? Watanabe,Fukuzawa Yukichi Katei Kyo?Iku No Susume,1985
GONPDS,Jesus Gonzalez Valles,Proyecto de Sociedad Japonesa Moderna En El Pensamiento de Yukichi Fukuzawa,2002
SEKKDT,Sumiko Sekiguchi,"Kokumin Do?Toku to Jenda?: Fukuzawa Yukichi, Inoue Tetsujiro?, Watsuji Tetsuro?",2007
YASFYN,Junosuke Yasukawa,Fukuzawa Yukichi No Senso?Ron to Tenno?Seiron: Arata Na Fukuzawa Bikaron o Hihansuru,2006
MARBNG,Masao Maruyama and Yukichi Fukuzawa,"""Bunmeiron No Gairyaku"" o Yomu",1986
FUKAOO,Yukichi Fukuzawa,An Outline of a Theory of Civilization,1973
ABEMSN,Yoshishige Abe,Meiji Shisokai No Choryu,1932
YASNKK,Junosuke Yasukawa,Nihon Kindai Kyoiku No Shiso Kozo Fukuzawa Yukichi No Kyoiku Shiso Kenkyu,1979
FUKEOL,Yukichi Fukuzawa,Encouragement of Learning the First Essay 1872,1957
FUKGNS-2,Yukichi Fukuzawa and Teruhiko Hinotani,??????: ?????????????,1989
AKAFYT,Akira Akasaka,"Fukuzawa Yukichi to Matsushita Konosuke ""Fukuzawa Shiso"" to ""Matsushita Tetsugaku"" Ni Kyotsusuru Han'ei No Shiso to Wa",1992
YASNKK-2,Junosuke Yasukawa,Nihon Kindai Kyoiku No Shiso Kozo,1970
FUKFYA,Yukichi Fukuzawa and A. Umeyo Dilworth David and Hirano,Fukuzawa Yukichi's an Encouragement of Learning,1969
TSUFYN,Shun'ichi Tsuchihashi and Yukichi Fukuzawa,Fukuzawa Yukichi No Fukugan Shiko Saki o Yomi Hito o Miru Chie,1985
KYOKGN,Mita Ky\a{a}oikukai,Kei\a{a}o Gijuku No Ky\a{a}oikuron,1998
FUKGNS-3,Yukichi Fukuzawa and Sakiko Shindo,Gakumon No Susume Honbun to Sakuin,1992
ANZFYN,Toshimitsu Anzai,Fukuzawa Yukichi No H\a{a}oshis\a{a}o Shiza Jissen Eiky\a{a}o,2002
ITOBNG,Masao Ito and Yukichi Fukuzawa,Bummeiron No Gairyaku,1972
FUKFYA-2,Yukichi Fukuzawa,Fukuzawa Yukischi's an Outline of a Theory of Civilization,1973
MACTMO-27,Alan Macfarlane,The Making of the Modern World: Visions From the West and East,2002
ANZFYT,Toshimitsu Anzai,"Fukuzawa Yukichi to Seio Shiso Shizenho, Kori Shugi, Shinkaron",1995
FUKFYO,Yukichi Fukuzawa,Fukuzawa Yukichi on Education: Selected Works,1985
HEIROS-4,Steven Heine,Sourcebook for Modern Japanese Philosophy: Selected Documents (Review),2001
KRUJAT,John Krummel,Japan and the West: A Review of Thomas Kasulis?s Engaging Japanese Philosophy: A Short History,2021
JANTJE,Marius B. Jansen and Carmen Blacker and Fukuzawa Yukichi,The Japanese Enlightenment: A Study of the Writings of Fukuzawa Yukichi,1964
